Nr,Buch,Ordner,Kapitel,Größe (Bytes),Länge (Seconds),Länge (min),Länge (hours),kbps,minutes,%,
1,1. Mose,01_Ge,50,"129,026,032","15,878",265,4.41,63,265,4.7%,2025-08-19
2,2. Mose,02_Ex,40,"108,383,104","13,346",222,3.71,63,487,8.7%,2025-08-24
3,3. Mose,03_Le,27,"73,325,211","9,030",151,2.51,63,638,11.4%,2025-08-25
4,4. Mose,04_Nu,36,"105,145,570","12,960",216,3.60,63,854,15.3%,2025-08-26
5,5. Mose,05_De,34,"94,087,008","11,590",193,3.22,63,1047,18.7%,2025-08-27
6,Josua,06_Jos,24,"61,015,512","7,508",125,2.09,63,1172,21.0%,2025-08-28
7,Richter,07_Jg,21,"57,288,496","7,056",118,1.96,63,1289,23.1%,2025-08-29
8,Ruth,08_Ru,4,"7,965,769",977,16,0.27,64,1306,23.4%,2025-08-30
9,1. Samuel,09_1Sa,31,"83,860,327","10,325",172,2.87,63,1478,26.4%,2025-08-31
10,2. Samuel,10_2Sa,24,"66,047,929","8,133",136,2.26,63,1613,28.9%,2025-09-01
11,1. Könige,11_1Ki,22,"74,586,805","9,209",153,2.56,63,1767,31.6%,2025-09-02
12,2. Könige,12_2Ki,25,"77,478,196","9,555",159,2.65,63,1926,34.4%,2025-09-04
13,1. Chronika,13_1Ch,29,"77,192,079","9,497",158,2.64,64,2084,37.3%,
14,2. Chronika,14_2Ch,36,"79,642,409","9,768",163,2.71,64,2247,40.2%,
15,Esra,15_Ezr,10,"23,938,467","2,944",49,0.82,64,2296,41.1%,
16,Nehemia,16_Ne,13,"35,890,822","4,421",74,1.23,63,2370,42.4%,
17,Esther,17_Es,10,"19,394,149","2,375",40,0.66,64,2410,43.1%,
18,Hiob,18_Job,42,"75,633,171","9,250",154,2.57,64,2564,45.8%,
19,Psalmen,19_Ps,150,"180,608,438","21,815",364,6.06,65,2927,52.3%,
20,Sprüche,20_Pr,31,"63,443,671","7,773",130,2.16,64,3057,54.7%,
21,Prediger,21_Ec,12,"18,462,766","2,248",37,0.62,64,3094,55.3%,
22,Hohes Lied,22_Ca,8,"9,620,271","1,162",19,0.32,65,3114,55.7%,
23,Jesaja,23_Isa,66,"132,287,830","16,207",270,4.50,64,3384,60.5%,
24,Jeremia,24_Jer,52,"141,042,842","17,360",289,4.82,63,3673,65.7%,
25,Klagelieder,25_La,5,"12,245,372","1,505",25,0.42,64,3698,66.1%,
26,Hesekiel,26_Eze,48,"130,934,166","16,122",269,4.48,63,3967,70.9%,
27,Daniel,27_Da,12,"40,871,428","5,048",84,1.40,63,4051,72.4%,
28,Hosea,28_Ho,14,"21,094,421","2,569",43,0.71,64,4094,73.2%,
