nr,book,folder,chapters,Size (Bytes),Length (Seconds),Length (min),Length (hours),kbps,date,%
1,Sáng thế,01_Ge,,,,0,0.00,#DIV/0!,,
2,Xuất Ai Cập,02_Ex,,,,0,0.00,#DIV/0!,,
3,Lê-vi,03_Le,,,,0,0.00,#DIV/0!,,
4,Dan số,04_Nu,,,,0,0.00,#DIV/0!,,
5,Phục truyền luật lệ,05_De,,,,0,0.00,#DIV/0!,,
6,Giô-suê,06_Jos,,,,0,0.00,#DIV/0!,,
7,Quan xét ,07_Jg,,,,0,0.00,#DIV/0!,,
8,Ru-tơ,08_Ru,,,,0,0.00,#DIV/0!,,
9,1 Sa-mu-ên,09_1Sa,,,,0,0.00,#DIV/0!,,
10,2 Sa-mui-ên,10_2Sa,,,,0,0.00,#DIV/0!,,
11,1 Các vua,11_1Ki,,,,0,0.00,#DIV/0!,,
12,2 Các vua,12_2Ki,,,,0,0.00,#DIV/0!,,
13,1 Sử ký,13_1Ch,29,"73,836,222","9,075",151,2.52,64,,
14,2 Sử ký,14_2Ch,,,,0,0.00,#DIV/0!,,
15,Ê-xơ-ra,15_Ezr,10,"24,511,719","3,015",50,0.84,64,,
16,Nê-hê-mi,16_Ne,13,"37,439,159","4,613",77,1.28,63,,
17,Ê-xơ-tê,17_Es,10,"18,122,019","2,216",37,0.62,64,,
18,Gióp,18_Job,42,"59,606,851","7,247",121,2.01,64,,
19,Thi thiên,19_Ps,106,"120,483,711","14,531",242,4.04,65,,
20,Châm ngôn,20_Pr,31,"57,191,028","6,988",116,1.94,64,,
21,Truyền đạo,21_Ec,12,"18,295,071","2,224",37,0.62,64,,
22,Nhã ca,22_Ca,8,"9,491,106","1,144",19,0.32,65,,
23,Ê-sai,23_Isa,66,"122,641,965","15,005",250,4.17,64,,
24,Giê-rê-mi,24_Jer,,,,0,0.00,#DIV/0!,,
25,Ai ca,25_La,,,,0,0.00,#DIV/0!,,
26,Ê-xê-chi-ên,26_Eze,,,,0,0.00,#DIV/0!,,
27,Đa-ni-ên,27_Da,,,,0,0.00,#DIV/0!,,
28,Ô-sê ,28_Ho,14,"18,091,737","2,193",37,0.61,64,,
29,Giô-ên,29_Joe,3,"6,552,362",804,13,0.22,64,,
30,A-mốt,30_Am,9,"13,383,146","1,629",27,0.45,64,,
31,Áp-đia,31_Ob,1,"2,206,333",271,5,0.08,64,,
32,Giô-na,32_Jon,4,"4,334,172",523,9,0.15,65,,
33,Mi-chê,33_Mic,7,"10,426,187","1,270",21,0.35,64,,
34,Na-hum,34_Na,,,,0,0.00,#DIV/0!,,
35,Ha-ba-cúc,35_Hab,,,,0,0.00,#DIV/0!,,
36,Xô-phô-ni,36_Zep,,,,0,0.00,#DIV/0!,,
37,Ha-gai ,37_Hag,2,"3,844,169",471,8,0.13,64,,
38,Xa-cha-ri,38_Zec,14,"19,541,879","2,373",40,0.66,64,,
39,Ma-la-chi,39_Mal,,,,0,0.00,#DIV/0!,,
40,Ma-thi-ơ,,,,,0,0.00,#DIV/0!,,
41,Mác,,,,,0,0.00,#DIV/0!,,
42,Lu-ca,,,,,0,0.00,#DIV/0!,,
43,Giăng,,,,,0,0.00,#DIV/0!,,
44,Công vụ,,,,,0,0.00,#DIV/0!,,
45,Rô-ma,,,,,0,0.00,#DIV/0!,,
46,1 Corinthians,,,,,0,0.00,#DIV/0!,,
47,2 Corinthians,,,,,0,0.00,#DIV/0!,,
48,Galatians,,,,,0,0.00,#DIV/0!,,
49,Ephesians,,,,,0,0.00,#DIV/0!,,
50,Philippians,,,,,0,0.00,#DIV/0!,,
51,Colossians,,,,,0,0.00,#DIV/0!,,
52,1 Thessalonians,,,,,0,0.00,#DIV/0!,,
53,2 Thessalonians,,,,,0,0.00,#DIV/0!,,
54,1 Timothy,,,,,0,0.00,#DIV/0!,,
55,2 Timothy,,,,,0,0.00,#DIV/0!,,
56,Titus,,,,,0,0.00,#DIV/0!,,
57,Philemon,,,,,0,0.00,#DIV/0!,,
58,Hebrews,,,,,0,0.00,#DIV/0!,,
59,James,,,,,0,0.00,#DIV/0!,,
60,1 Peter,,,,,0,0.00,#DIV/0!,,
61,2 Peter,,,,,0,0.00,#DIV/0!,,
62,1 John,,,,,0,0.00,#DIV/0!,,
63,2 John,,,,,0,0.00,#DIV/0!,,
64,3 John,,,,,0,0.00,#DIV/0!,,
65,Jude,,,,,0,0.00,#DIV/0!,,
66,Revelation,,,,,0,0.00,#DIV/0!,,
99,sum,bible_vi,381,"619,998,836","75,591",1260,21.00,64,,
,,,,,,,,,,
15,sum,bible_vi,195,"357,331,281","43,682",728,12.13,64,2024-10-30,16%
,,,381,"619,998,836","75,591",1260,21.00,64,2025-09-05,32%
