nr,book,folder,html_folder,chapters,MB,time,minutes,min/MB,kB/s,sentences,words,letters,wpm
1,Genesis,01_Ge,genesis,50,130.7,4:28,268,2.05,8.3,"2,116","38,766","163,742",145
2,Exodus,02_Ex,exodus,40,103.6,3:33,213,2.06,8.3,"1,610","31,831","133,989",149
3,Leviticus,03_Le,leviticus,27,72.5,2:29,149,2.06,8.3,"1,164","23,797","100,203",160
4,Numbers,04_Nu,numbers,36,103.3,3:32,212,2.05,8.3,"1,647","31,167","138,153",147
5,Deuteronomy,05_De,deuteronomy,34,87.4,2:59,179,2.05,8.3,"1,236","27,492","116,017",154
6,Joshua,06_Jos,joshua,24,56.8,1:56,116,2.04,8.4,866,"17,660","79,934",152
7,Judges,07_Jg,judges,21,59.7,2:03,123,2.06,8.3,917,"17,859","78,689",145
8,Ruth,08_Ru,ruth,4,8.9,0:18,18,2.02,8.4,142,"2,538","10,909",141
9,1 Samuel,09_1Sa,1_samuel,31,78.9,2:42,162,2.05,8.3,"1,206","24,669","104,801",152
10,2 Samuel,10_2Sa,2_samuel,24,64.5,2:12,132,2.05,8.3,"1,009","20,162","87,254",153
11,1 Kings,11_1Ki,1_kings,22,78.8,2:42,162,2.06,8.3,"1,090","24,175","104,103",149
12,2 Kings,12_2Ki,2_kings,25,75.5,2:35,155,2.05,8.3,"1,046","23,443","101,629",151
13,1 Chronicles,13_1Ch,1_chronicles,29,71.5,2:26,146,2.04,8.4,"1,156","19,447","94,344",133
14,2 Chronicles,14_2Ch,2_chronicles,36,84,2:52,172,2.05,8.3,"1,068","25,433","115,083",148
15,Ezra,15_Ezr,ezra,10,24.2,0:50,50,2.07,8.3,313,"7,066","32,141",141
16,Nehemiah,16_Ne,nehemiah,13,24.8,1:07,67,2.7,6.3,493,"10,373","46,865",155
17,Esther,17_Es,esther,10,13.1,0:35,35,2.67,6.4,233,"5,519","24,511",158
18,Job,18_Job,job,42,51.9,2:20,140,2.7,6.3,"1,277","18,074","74,058",129
19,Psalms,19_Ps,psalms,150,139.6,6:11,371,2.66,6.4,"3,245","42,286","176,210",114
20,Proverbs,20_Pr,proverbs,31,48.4,2:11,131,2.71,6.3,"1,009","15,142","64,690",116
21,Ecclesiastes,21_Ec,ecclesiastes,12,15.8,0:42,42,2.66,6.4,300,"5,701","22,900",136
22,Song of Solomon,22_Ca,song_of_solomon,8,8.1,0:22,22,2.72,6.3,206,"2,754","11,519",125
23,Isaiah,23_Isa,isaiah,66,99.8,4:30,270,2.71,6.3,"2,228","37,132","156,987",138
24,Jeremiah,24_Jer,jeremiah,52,106.2,4:49,289,2.72,6.3,"2,228","42,323","183,839",146
25,Lamentations,25_La,lamentations,5,9.8,0:27,27,2.76,6.2,266,"3,467","14,538",128
26,Ezekiel,26_Eze,ezekiel,48,92.4,4:11,251,2.72,6.3,"1,883","38,703","166,014",154
27,Daniel,27_Da,daniel,12,31.3,1:26,86,2.75,6.2,517,"11,832","50,500",138
28,Hosea,28_Ho,hosea,14,14.7,0:39,39,2.65,6.4,326,"5,242","22,392",134
29,Joel,29_Joe,joel,3,5.4,0:15,15,2.78,6.1,115,"1,973","8,465",132
30,Amos,30_Am,amos,9,11.1,0:30,30,2.7,6.3,208,"4,255","18,104",142
31,Obadiah,31_Ob,obadiah,1,1.8,0:05,5,2.78,6.1,33,671,"2,930",134
32,Jonah,32_Jon,jonah,4,4.5,0:09,9,2,8.5,72,"1,344","5,424",149
33,Micah,33_Mic,micah,7,10.2,0:28,28,2.75,6.2,177,"3,092","13,028",110
34,Nahum,34_Na,nahum,3,4.3,0:12,12,2.79,6.1,102,"1,261","5,550",105
35,Habakkuk,35_Hab,habakkuk,3,4.1,0:11,11,2.68,6.4,117,"1,501","6,354",136
36,Zephaniah,36_Zep,zephaniah,3,4.4,0:12,12,2.73,6.3,93,"1,617","7,085",135
37,Haggai,37_Hag,haggai,2,2.9,0:08,8,2.76,6.2,52,"1,130","4,967",141
38,Zechariah,38_Zec,zechariah,14,16.2,0:43,43,2.65,6.4,293,"6,299","26,758",146
39,Malachi,39_Mal,malachi,4,4.9,0:13,13,2.65,6.4,102,"1,876","8,060",144
40,Matthew,40_Mt,matthew,28,62.6,2:51,171,2.73,6.2,"1,346","24,224","101,747",142
41,Mark,41_Mr,mark,16,42.6,1:57,117,2.75,6.2,834,"15,064","62,679",129
42,Luke,42_Lu,luke,24,68.4,3:07,187,2.73,6.2,"1,432","26,249","109,644",140
43,John,43_Joh,john,21,52.3,2:23,143,2.73,6.2,"1,105","20,137","80,701",141
44,Acts,44_Ac,acts,28,62,2:49,169,2.73,6.3,"1,197","25,130","109,462",149
45,Romans,45_Ro,romans,16,25.9,1:10,70,2.7,6.3,563,"10,399","43,964",149
46,1 Corinthians,46_1Co,1_corinthians,16,25.5,1:09,69,2.71,6.3,578,"10,206","41,432",148
47,2 Corinthians,47_2Co,2_corinthians,13,16.5,0:44,44,2.67,6.4,327,"6,659","27,751",151
48,Galatians,48_Ga,galatians,6,9.2,0:25,25,2.72,6.3,178,"3,477","14,597",139
49,Ephesians,49_Eph,ephesians,6,8.6,0:23,23,2.67,6.4,167,"3,429","14,740",149
50,Philippians,50_Php,philippians,4,6.1,0:16,16,2.62,6.5,119,"2,519","10,559",157
51,Colossians,51_Col,colossians,4,5.7,0:15,15,2.63,6.5,113,"2,294","10,032",153
