#,# family,family,city,origin,scripture,notes
1,1,Aaron,Hebʹron,Judah and Simeon,Joshua 21:13,21:11 them Kirʹi·ath-arʹba (Arʹba was the father of Aʹnak)
2,2,,Libnah,Judah and Simeon,Joshua 21:13,
3,3,,Jattir,Judah and Simeon,Joshua 21:14,
4,4,,Eshtemoa,Judah and Simeon,Joshua 21:14,
5,5,,Holon,Judah and Simeon,Joshua 21:15,
6,6,,Debir,Judah and Simeon,Joshua 21:15,
7,7,,Ain,Judah and Simeon,Joshua 21:16,
8,8,,Juttah,Judah and Simeon,Joshua 21:16,
9,9,,Beth-shemesh,Judah and Simeon,Joshua 21:16,
10,10,,Gibeon,Benjamin,Joshua 21:17,
11,11,,Geba,Benjamin,Joshua 21:17,
12,12,,Anathoth,Benjamin,Joshua 21:18,
13,13,,Almon,Benjamin,Joshua 21:18,
14,1,Kohathites (rest),,Ephraim,,
15,2,Kohathites (rest),,Dan,,
16,3,Kohathites (rest),,Manasseh,,
17,4,Kohathites (rest),,,,
18,5,Kohathites (rest),,,,
19,6,Kohathites (rest),,,,
20,7,Kohathites (rest),,,,
21,8,Kohathites (rest),,,,
22,9,Kohathites (rest),,,,
23,10,Kohathites (rest),,,,
24,1,Gershonites,,,,
25,2,Gershonites,,,,
26,3,Gershonites,,,,
27,4,Gershonites,,,,
28,5,Gershonites,,,,
29,6,Gershonites,,,,
30,7,Gershonites,,,,
31,8,Gershonites,,,,
32,9,Gershonites,,,,
33,10,Gershonites,,,,
34,11,Gershonites,,,,
35,12,Gershonites,,,,
36,13,Gershonites,,,,
37,1,Merarites,,,,
38,2,Merarites,,,,
39,3,Merarites,,,,
40,4,Merarites,,,,
41,5,Merarites,,,,
42,6,Merarites,,,,
43,7,Merarites,,,,
44,8,Merarites,,,,
45,9,Merarites,,,,
46,10,Merarites,,,,
47,11,Merarites,,,,
48,12,Merarites,,,,
